Name,Position,Device,GUID,Parent GUID,MD5 Digest,Path Name,Kind,MIME Type,Date,Cellebrite deleted_state,Cellebrite id,Cellebrite Folder,Cellebrite type,Cellebrite Type,Cellebrite VideoCall,Cellebrite Title,Cellebrite LastVisited,Cellebrite Url,Cellebrite VisitCount,Contact Full Name,Contact Mobile Phone,MaximumLatitude,MinimumLatitude,MaximumLongitude,MinimumLongitude,Latitude,Longitude,iOS Message Remote Participants,iOS SMS Read,iOS First Message,iOS Last Message,Application Created,File Created,Communication Date,Cellebrite MetaData Modify time,Cellebrite MetaData DateTime,Cellebrite StartDate,Exif Date Time
Dcci Nokia,0-0-1-0,BlackBerry Torch,5eee2c80-6946-4d57-845e-ddc92e86bf2d,535538d5-ef27-4c3d-97d4-49e9159e4cd5,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Contact,Contact,application/x-contact,,Intact,24eddd49-e725-4056-9b2e-115ed08d40b8,,Contact,,,,,,,Dcci Nokia,,,,,,,,,,,,,,,,,,
Dcci android,0-0-1-1,BlackBerry Torch,798fc34c-e783-4b67-a6cd-8a917f7c46a4,535538d5-ef27-4c3d-97d4-49e9159e4cd5,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Contact,Contact,application/x-contact,,Intact,b839bd0a-b898-4f85-80de-acf5868be4c5,,Contact,,,,,,,Dcci android,,,,,,,,,,,,,,,,,,
Dcci Apple,0-0-1-2,BlackBerry Torch,65b88ab2-6c34-4d6f-becc-549d6c8a2ca7,535538d5-ef27-4c3d-97d4-49e9159e4cd5,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Contact,Contact,application/x-contact,,Intact,32ac7495-2b97-4f01-9107-456f312a2825,,Contact,,,,,,,Dcci Apple,,,,,,,,,,,,,,,,,,
"+1 443-694-6702 -> [+1 443-714-0168, +1 443-714-0166]",0-0-2-0,BlackBerry Torch,eea593f0-58d3-4b95-a279-c2b2f0c0b0a8,c3779e0d-007c-46b2-934f-09b69d0512f5,60c84cc391aa318047c9235da94337e8,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/MMS,Other Document,application/x-chat-message,,Intact,e80e0888-5c6d-447b-9f46-d0950fd7123b,Inbox,MMS,,,,,,,,,,,,,,,,,,,,,,,,,
"2012-10-17 17:29:36 UTC - 2012-10-17 17:29:36 UTC: [+11113272607, 14437140166]",0-0-3-0,BlackBerry Torch,fd961739-f047-4e54-8514-ca53a46a33b3,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-17 17:29:36 UTC: +11113272607 -> [14437140166],0-0-3-0-0,BlackBerry Torch,23748366-1e7a-4c3d-9eb7-c24c596aff0a,fd961739-f047-4e54-8514-ca53a46a33b3,1a969d9c8636fbe809be1b286303f9db,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-17 17:29:36 UTC - 2012-10-17 17:29:36 UTC: [+11113272607, 14437140166]",Other Document,application/x-chat-message,,Intact,5098d950-cd1a-48e9-89b2-484b3ffe4565,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Wednesday, October 17, 2012 at 1:29:36 PM Eastern Daylight Time",,,,
"2012-10-19 17:20:25 UTC - 2012-10-19 17:20:27 UTC: [7106, 14437140166]",0-0-3-1,BlackBerry Torch,8f9bc2cc-ea6e-483d-85cd-365cc185fcb1,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19 17:20:25 UTC: 7106 -> [14437140166],0-0-3-1-0,BlackBerry Torch,2fdcd350-72ee-400d-b62d-b526c4513acb,8f9bc2cc-ea6e-483d-85cd-365cc185fcb1,9c2511ef55dce3deb91e4d7122ab003a,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:20:25 UTC - 2012-10-19 17:20:27 UTC: [7106, 14437140166]",Other Document,application/x-chat-message,,Intact,7dd3adcd-7674-4428-94d5-3b1779e9b3b4,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:20:25 PM Eastern Daylight Time",,,,
2012-10-19 17:20:27 UTC: 7106 -> [14437140166],0-0-3-1-1,BlackBerry Torch,1a03a5b0-6f62-4d12-b41a-9c7851ca4f28,8f9bc2cc-ea6e-483d-85cd-365cc185fcb1,fee5720e94c2493e3d7c5407255f0494,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:20:25 UTC - 2012-10-19 17:20:27 UTC: [7106, 14437140166]",Other Document,application/x-chat-message,,Intact,08cca69c-aa17-4f8c-974d-ff4275eb6dfa,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:20:27 PM Eastern Daylight Time",,,,
"2012-10-19 17:20:41 UTC - 2012-10-19 17:20:41 UTC: [+1 443-714-0168, 14437140166]",0-0-3-2,BlackBerry Torch,0904f528-17e8-48fa-b35c-9f88c751d47f,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19 17:20:41 UTC: +1 443-714-0168 -> [14437140166],0-0-3-2-0,BlackBerry Torch,f5807c39-ff50-4702-aed4-39595c73fb5a,0904f528-17e8-48fa-b35c-9f88c751d47f,573970bf0eb1b91dcc753361e40b01df,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:20:41 UTC - 2012-10-19 17:20:41 UTC: [+1 443-714-0168, 14437140166]",Other Document,application/x-chat-message,,Intact,e846579b-9258-4064-a817-8d5a0b89e9e5,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:20:41 PM Eastern Daylight Time",,,,
2012-10-19 17:25:28 UTC - 2012-10-19 17:25:28 UTC: [+1 443-714-0168],0-0-3-3,BlackBerry Torch,8f4c5e59-2937-44c7-b95b-b3a607b5178b,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19 17:25:28 UTC: +1 443-714-0168 -> [],0-0-3-3-0,BlackBerry Torch,afdad282-e551-4123-8644-fb0cd71eefdf,8f4c5e59-2937-44c7-b95b-b3a607b5178b,4e1f6940bd50d2609cb0014c149c2d61,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:25:28 UTC - 2012-10-19 17:25:28 UTC: [+1 443-714-0168],Other Document,application/x-chat-message,,Intact,6ff49330-ff1d-4ae9-b95f-d11ff546411d,Outbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:25:28 PM Eastern Daylight Time",,,,
"2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",0-0-3-4,BlackBerry Torch,03836322-8833-477b-974c-e14e21573cf4,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19 17:33:24 UTC: +1 443-694-6702 -> [14437140166],0-0-3-4-0,BlackBerry Torch,8559fb29-50f1-4120-a5ee-10e354db2679,03836322-8833-477b-974c-e14e21573cf4,1140af6901bcac360ac35cd55e701c5a,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",Other Document,application/x-chat-message,,Intact,be79459f-5061-4c56-a05c-5c9aa3ed8591,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:33:24 PM Eastern Daylight Time",,,,
2012-10-19 17:35:22 UTC: +1 443-694-6702 -> [14437140166],0-0-3-4-1,BlackBerry Torch,172b39f3-9426-4084-b004-c4b91d123053,03836322-8833-477b-974c-e14e21573cf4,30db61ec4891919e7a3cfbdb8652b956,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",Other Document,application/x-chat-message,,Intact,f3007654-fbc4-4420-acb4-223459eb8444,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:35:22 PM Eastern Daylight Time",,,,
2012-10-19 17:42:59 UTC: +1 443-694-6702 -> [14437140166],0-0-3-4-2,BlackBerry Torch,66f0e80d-acd2-4f1d-a346-28a008571376,03836322-8833-477b-974c-e14e21573cf4,c04e6f07ce146b066ce2ce86a04147c6,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",Other Document,application/x-chat-message,,Intact,75502340-3bb1-4745-b077-76bfc7020bd5,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:42:59 PM Eastern Daylight Time",,,,
2012-10-22 16:06:33 UTC: +1 443-694-6702 -> [14437140166],0-0-3-4-3,BlackBerry Torch,7f0b6de4-f817-479f-8602-fba48b0d7c72,03836322-8833-477b-974c-e14e21573cf4,ec5947519e7af92753537d765c32e542,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",Other Document,application/x-chat-message,,Intact,e54ea713-3914-4a46-80ac-180940f81656,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Monday, October 22, 2012 at 12:06:33 PM Eastern Daylight Time",,,,
2012-10-22 20:28:39 UTC: +1 443-694-6702 -> [14437140166],0-0-3-4-4,BlackBerry Torch,265f5c01-a012-42e8-84c2-a6af555d2c56,03836322-8833-477b-974c-e14e21573cf4,e730ab1a47a7773c4e74e12055415626,"/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:33:24 UTC - 2012-10-22 20:28:39 UTC: [+1 443-694-6702, 14437140166]",Other Document,application/x-chat-message,,Intact,483f7494-bf4f-43db-a111-b36e6b3ddd57,Inbox,SMS,,,,,,,,,,,,,,,,,,,,,"Monday, October 22, 2012 at 4:28:39 PM Eastern Daylight Time",,,,
2012-10-19 17:34:50 UTC - 2012-10-22 16:45:22 UTC: [+1 443-694-6702],0-0-3-5,BlackBerry Torch,73b57061-9346-4b73-91b3-67046c7b6b08,c4ab64f8-752d-442f-9d00-188e9291b4e0,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS,Other Document,application/x-chat-conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19 17:34:50 UTC: +1 443-694-6702 -> [],0-0-3-5-0,BlackBerry Torch,29825e49-cd01-4716-bfd8-5a945b79ae43,73b57061-9346-4b73-91b3-67046c7b6b08,8c27dac1d32e718feff4949e5a05b470,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:34:50 UTC - 2012-10-22 16:45:22 UTC: [+1 443-694-6702],Other Document,application/x-chat-message,,Intact,20e04492-abc8-476e-8f9f-e83b85cd62d7,Outbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:34:50 PM Eastern Daylight Time",,,,
2012-10-19 17:42:26 UTC: +1 443-694-6702 -> [],0-0-3-5-1,BlackBerry Torch,2d9f9a71-34d2-4f8f-90c3-652398d8a792,73b57061-9346-4b73-91b3-67046c7b6b08,39bb0999c3f9baa57c55b4578fa0a02b,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:34:50 UTC - 2012-10-22 16:45:22 UTC: [+1 443-694-6702],Other Document,application/x-chat-message,,Intact,9aedd7d4-af40-46d6-8363-ccf630da1a23,Outbox,SMS,,,,,,,,,,,,,,,,,,,,,"Friday, October 19, 2012 at 1:42:26 PM Eastern Daylight Time",,,,
2012-10-22 16:45:22 UTC: +1 443-694-6702 -> [],0-0-3-5-2,BlackBerry Torch,462a9e4d-68bc-45b9-9e56-e6f7298a916f,73b57061-9346-4b73-91b3-67046c7b6b08,94de5110014b57ec7f3a99866201407e,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/SMS/2012-10-19 17:34:50 UTC - 2012-10-22 16:45:22 UTC: [+1 443-694-6702],Other Document,application/x-chat-message,,Intact,dcdc869a-0161-496e-a8cf-3b6e02d7ce2a,Outbox,SMS,,,,,,,,,,,,,,,,,,,,,"Monday, October 22, 2012 at 12:45:22 PM Eastern Daylight Time",,,,
WAP Browser,0-0-4-0,BlackBerry Torch,f3bca100-b820-49c1-8865-6823885fe18c,05bec46e-bf56-423e-b6b5-723da4aecf4d,,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Web bookmark,Other Document,application/x-browser-bookmark,,Intact,e9505a26-20d7-4bf9-8afb-211e72fd511a,,WebBookmark,,,WAP Browser,,http://att.yahoo.com,,,,,,,,,,,,,,,,,,,,
start.exe,0-0-5-0-0-0,BlackBerry Torch,e82aeb5f-27e9-4404-8df6-2f9387dc8467,b394753c-016b-48d6-9245-3d84676c1e2b,f7f55d1c0be669e47777bf3a3bf98e56,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard,System File,application/exe,,,e893a4d2-cb35-4050-8e2e-2067f3680c7a,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:22 PM,,,
couch.png,0-0-5-0-0-1-1-0-0-6,BlackBerry Torch,bd4c95d3-50d5-4f49-ab1d-91250c3856f9,8e579472-1f55-4a72-b8e7-67cad8a27e78,4b4993085fa8d4609aad2ce6e551033b,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images,Image,image/png,,,11497976-7552-4ff0-a71a-a06ed64cfa50,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:14 PM,,,
laptop.png,0-0-5-0-0-1-1-0-0-8,BlackBerry Torch,39e94da7-1213-4313-a12f-711c6dc6a7f4,8e579472-1f55-4a72-b8e7-67cad8a27e78,94d894582551e81a4b1540dd1e154911,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images,Image,image/png,,,84fc7fb9-c8d1-48d2-af6b-b5338bea74a8,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:14 PM,,,
mac_desktop.JPG,0-0-5-0-0-1-1-0-0-9,BlackBerry Torch,3fcc0ba1-21e5-4f8a-bcd2-51925097020c,8e579472-1f55-4a72-b8e7-67cad8a27e78,4a4c5b52aaaeb92b21693a9009c41347,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images,Image,image/jpeg,,,c88e942e-45e6-45f8-8b5e-931a02fadde8,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:14 PM,,,
pdf_icon.jpg,0-0-5-0-0-1-1-0-0-12,BlackBerry Torch,30741753-e8ff-43df-ade2-193002b4da18,8e579472-1f55-4a72-b8e7-67cad8a27e78,b77d901cfaf593f6b2137c50c51dd68c,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images,Image,image/jpeg,,,72cc83cd-196b-48df-b324-7aa79323c6dc,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:14 PM,,,
screen.jpg,0-0-5-0-0-1-1-0-0-15,BlackBerry Torch,05927c4d-5fe1-4d5c-b798-a61f52cbab7a,8e579472-1f55-4a72-b8e7-67cad8a27e78,51891783ca463a3e18ed485131b17702,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images,Image,image/jpeg,,,edea09a5-a4be-4abe-acc8-43a749c511a7,,,,,,,,,,,,,,,,,,,,,,,,8/19/2010 7:27:16 PM,,,
Thumbs.db_embedded_1.jpg,0-0-5-0-0-1-1-0-0-17-0,BlackBerry Torch,a5473112-fb12-4292-8c24-f0ea46462b96,2107cfbc-28b3-4656-8d62-5addbc927e47,e4d0c42a6a92f57e743d4f705b1a2236,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,1d1446aa-31f6-4be5-8377-12336f6b0a0e,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_2.jpg,0-0-5-0-0-1-1-0-0-17-1,BlackBerry Torch,0048a6e3-896f-43bb-b80b-6ebb6e1db761,2107cfbc-28b3-4656-8d62-5addbc927e47,d7d4d71c006cbf08f3e063a13aa6784f,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,2f2a7875-39f7-48de-a17d-ce6f4c00bd02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_3.jpg,0-0-5-0-0-1-1-0-0-17-2,BlackBerry Torch,110b0046-eaed-490a-b9d4-f2ae60fd31a2,2107cfbc-28b3-4656-8d62-5addbc927e47,1fb96b8aafdb5f60644f7b969721dcfe,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,5fae7654-2685-4e8f-897c-06f46b6cbc8f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_4.jpg,0-0-5-0-0-1-1-0-0-17-3,BlackBerry Torch,ab0713a8-b27e-46b0-ae65-9be8bc1c0c69,2107cfbc-28b3-4656-8d62-5addbc927e47,236335c8f9ffe7044bedfae07a550058,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,f9a20c84-54e8-4ccc-b064-fc19392652ca,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_5.jpg,0-0-5-0-0-1-1-0-0-17-4,BlackBerry Torch,186566de-345f-4020-8aef-da6925c5bab2,2107cfbc-28b3-4656-8d62-5addbc927e47,236335c8f9ffe7044bedfae07a550058,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,4e8e93f0-879f-411f-99a0-a07ba95f7e58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_6.jpg,0-0-5-0-0-1-1-0-0-17-5,BlackBerry Torch,45aaaf53-0667-4793-895b-2a843d0a19a1,2107cfbc-28b3-4656-8d62-5addbc927e47,44db52a83233929ce13110f4c836484c,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,bf42a7ed-bce2-48d3-b778-f26774323c09,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumbs.db_embedded_7.jpg,0-0-5-0-0-1-1-0-0-17-6,BlackBerry Torch,7e2f7672-300a-49fd-b37a-2efacbdcda62,2107cfbc-28b3-4656-8d62-5addbc927e47,254078160bdf6e97f8bb5216a1a5fbbd,/BlackBerry Torch 9800 File System Dump/BlackBerry Torch 9800 File System Dump.ufdr/Tagged Files/[Unnamed Container]/SDCard/files/languages/default/images/Thumbs.db,Image,image/jpeg,,,103b77b4-663c-4607-8814-c864a3c6c477,,,,,,,,,,,,,,,,,,,,,,,,,,,
